RIC	Year	ESG Score	Environmental Pillar Score	Social Pillar Score	Governance Pillar Score
ALVG.DE	12/31/2014	86.11788131	97.28707452	85.7556539	83.83245314
ALVG.DE	12/31/2015	88.46171122	97.50431516	85.51798481	89.90726573
ALVG.DE	12/31/2016	86.64790081	97.00111079	84.96949084	86.40999662
ALVG.Deutsch	12/31/2017	86.11816862	96.23246003	81.76185652	89.81208347
ALVG.DE	12/31/2018	94.93752395	95.32871481	93.70747345	96.24218592
ALVG.DE	12/31/2019	93.75349716	94.37524002	92.57661443	94.91927939
ALVG.DE	12/31/2020	93.39072601	93.44340272	92.36539897	94.56938198
ALVG.DE	12/31/2021	91.38902218	93.51032481	89.10889013	93.34207536
ALVG.DE	12/31/2022	89.62349991	93.4510561	88.05800866	90.1740543
ALVG.DE	12/31/2023	88.952108	93.52137194	88.37761328	88.09926386
AOFG.DE		NULL	NULL	NULL	NULL
AT1.DE	12/31/2017	57.97118122	32.31898802	81.87009069	56.47950089
AT1.DE	12/31/2018	59.55071134	45.75734537	79.03427269	51.45238095
AT1.DE	12/31/2019	63.97679468	55.63526685	83.46900014	50.5988456
AT1.DE	12/31/2020	64.25964412	41.24617648	89.63244701	58.59591299
('AT1.DE)	12/31/2021	62.09095904	43.76761111	89.1357102	50.05430242
AT1.DE	12/31/2022	64.21054483	50.93299766	86.50521716	52.52136752
BASFn.DE	12/31/2010	88.09500164	87.23915872	89.73625369	86.82598039
BASFn.DE	12/31/2011	87.07651903	87.76576003	87.44186985	85.23979328
BASFn.DE	12/31/2012	86.29980035	87.45252223	90.45906257	77.21568627
BASFn.DE	12/31/2013	86.79413865	89.67116332	89.44637387	77.21732985
BASFn.DE	12/31/2014	88.60918291	90.24183572	91.82093361	80.28269649
BASFn.DE	12/31/2015	87.89509117	91.88606267	83.98695189	87.46649974
BASFn.DE	12/31/2016	83.78449934	89.19824857	80.24790837	80.21276596
BASFn.DE	12/31/2017	83.87570252	90.37513827	79.65315657	79.54823555
BASFn.DE	12/31/2018	89.81703418	91.45844436	92.25462211	82.78685219
BASFn.DE	12/31/2019	90.6707373	92.0920928	92.99510702	84.22116055
BASFn.DE	12/31/2020	91.72904664	95.57666256	92.87750642	82.98559054
BASFn.DE	12/31/2021	91.97032602	94.10595922	92.59492409	87.1390273
BASFn.DE	12/31/2022	90.4467152	92.67056558	94.21049104	80.14040381
BAYGn.DE	12/31/2010	77.80966981	78.79955176	91.75539352	56.24264706
BAYGn.DE	12/31/2011	77.06331421	79.08755427	90.82872143	55.00723514
BAYGn.DE	12/31/2012	73.76436686	80.66741954	90.63480474	43.49019608
BAYGn.DE	12/31/2013	74.6508789	80.81481814	92.16059316	43.9633616
BAYGn.DE	12/31/2014	73.85161253	78.51125999	95.20690176	38.52024438
BAYGn.DE	12/31/2015	74.95067949	80.59910095	94.34452832	41.8254741
BAYGn.DE	12/31/2016	82.92393677	79.94219264	96.30962416	65.10638298
BAYGn.DE	12/31/2017	84.86791731	83.40396977	97.15987272	67.57183437
BAYGn.DE	12/31/2018	89.82500175	84.50614172	96.78561411	83.32325066
BAYGn.DE	12/31/2019	89.16768333	686.854067	97.19076142	78.87429083
BAYGn.DE	12/31/2020	89.95677589	84.44170548	96.84875392	83.70148259
BAYGn.DE	12/31/2021	90.01399055	84.4262939	97.3812534	83.10166973
BAYGn.DE	12/31/2022	92.66466975	84.93749539	97.50484192	91.09789588
BC8G.DE	12/31/2017	30.25319193	28.77413592	47.09638103	16.19305146
BC8G.DE	12/31/2018	33.62046632	32.18700313	48.19665171	21.49879008
BC8G.DE	12/31/2019	45.39492322	38.92433498	74.37618409	22.38001393
BC8G.DE	12/31/2020	48.70069632	38.24703344	74.32796943	29.76886557
BC8G.DE	12/31/2021	62.89427242	33.76591463	80.23569701	56.69988635
BC8G.DE	12/31/2022	69.07089264	38.61432859	85.63394793	63.94523091
BEIG.DE	12/31/2010	60.90581407	60.85553997	59.83070983	63.04656863
BEIG.DE	12/31/2011	65.41639669	5,500,000,000.0000000	63.1417004	80.25581395
BEIG.DE	12/31/2012	59.0807992	52.98179272	56.64486733	69.91633987
BEIG.DE	12/31/2013	55.87915969	59.75793651	45.95769039	71.29212872
BEIG.DE	12/31/2014	56.11985997	53.74002574	47.38608534	75.48203376
BEIG.DE	12/31/2015	54.05334184	52.70833333	54.50084034	54.5282144
BEIG.DE	12/31/2016	59.21291412	54.42805823	60.1	62.27288078
BEIG.DE	12/31/2017	62.617864	70.2474975	64.98349252	50.38839725
BEIG.DE	12/31/2018	64.62987009	65.63055992	63.81753978	65.20871143
BEIG.DE	12/31/2019	67.69980625	73.39104109	67.69766234	62.01274012
BEIG.DE	12/31/2020	69.79107997	71.12394958	69.91441574	68.2183908
BEIG.DE	12/31/2021	66.62161131	68.78157895	67.13669468	63.46009267
BEIG.DE	12/31/2022	64.16864518	65.07601159	64.72755048	62.17451845
BFSA.DE	12/31/2018	51.56272163	43.95658263	76.94635136	24.45238095
BFSA.DE	12/31/2019	71.99587978	56.54638513	90.12992218	59.63924964
BFSA.DE	12/31/2020	66.03714404	57.30855707	84.38772765	48.69918699
BFSA.DE	12/31/2021	76.11578708	58.57255237	87.67189921	73.6299081
BFSA.DE	12/31/2022	75.64691087	59.64023896	81.52024581	79.34676435
BMWG.DE	12/31/2010	87.68049997	90.79912387	82.83659214	91.57598039
BMWG.DE	12/31/2011	88.3754443	96.13899518	83.38673902	86.01498708
BMWG.DE	12/31/2012	85.81108509	93.69410415	78.07992332	87.96078431
BMWG.DE	12/31/2013	88.36738575	93.38501499	84.78338036	87.45542509
BMWG.DE	12/31/2014	86.27670201	93.17067736	83.89298946	80.69069069
BMWG.DE	12/31/2015	85.83593519	95.12022631	82.74341421	78.11239394
BMWG.DE	12/31/2016	87.0988273	95.48279184	83.4810617	81.53157717
BMWG.DE	12/31/2017	84.16262768	91.15843196	84.46048887	73.8604829
BMWG.DE	12/31/2018	83.65272157	90.36274107	82.0981143	76.91016334
BMWG.DE	12/31/2019	86.67830186	90.41076594	85.83414723	82.89260476
BMWG.DE	12/31/2020	83.18333154	84.80343429	84.09009689	79.36864901
BMWG.DE	12/31/2021	88.44893694	80.23084918	93.34236826	91.60824081
BMWG.DE	12/31/2022	89.44072234	88.94900805	92.92211071	84.19142106
BNRGn.DE	12/31/2010	17.08550199	5.523676841	22.82173398	27.79166667
BNRGn.DE	12/31/2011	10.94757342	3.918845685	15.15230399	16.24031008
BNRGn.DE	12/31/2012	27.47102022	18.646634	25.48952625	46.41830065
BNRGn.DE	12/31/2013	29.1033687	15.81856654	28.39714582	53.76984127
BNRGn.DE	12/31/2014	37.60302095	34.51153356	32.7271749	51.32649891
BNRGn.DE	12/31/2015	42.0619788	35.43018343	39.41704651	58.25984142
BNRGn.DE	12/31/2016	57.0406422	40.21799237	66.37011653	70.95238095
BNRGn.DE	12/31/2017	56.46930203	47.40359685	62.1532451	62.85425544
BNRGn.DE	12/31/2018	62.94525127	47.05735073	67.06834297	84.02752571
BNRGn.DE	12/31/2019	60.04886063	45.3660477	63.90001819	79.46292426
BNRGn.DE	12/31/2020	61.95597931	50.83816377	63.5500524	78.89638514
BNRGn.DE	12/31/2021	58.98399887	42.17160342	62.32191435	83.02998514
BNRGn.DE	12/31/2022	63.12564908	49.48374594	65.44039817	83.30413089
BOSSn.DE	12/31/2011	43.07129756	10.32695375	62.91797795	27.09302326
BOSSn.DE	12/31/2012	48.89645355	18.59332867	72.79163176	23.88235294
BOSSn.DE	12/31/2013	51.27478258	17.33369883	72.84062472	32.87399435
BOSSn.DE	12/31/2014	72.37552769	69.91626794	81.97682793	56.17065341
BOSSn.DE	12/31/2015	74.31261603	69.08834586	82.50152873	62.47183197
BOSSn.DE	12/31/2016	74.74993536	64.09067506	81.1436609	69.67240797
BOSSn.DE	12/31/2017	88.27668395	85.69812006	88.541206	89.42040861
BOSSn.DE	12/31/2018	85.4801966	83.62008507	86.77087172	84.27051825
BOSSn.DE	12/31/2019	86.35131386	84.48125036	91.26352654	78.44809396
BOSSn.DE	12/31/2020	87.69670065	85.09236985	92.53659596	80.39230385
BOSSn.DE	12/31/2021	86.95606205	86.75385617	91.20115599	79.23070198
BOSSn.DE	12/31/2022	89.16392142	85.12958525	93.11622012	84.40724839
CBKG.DE	12/31/2010	61.81365124	93.50117617	62.77368563	49.09558824
CBKG.DE	12/31/2011	66.20506813	91.69145151	64.99622136	59.38656331
CBKG.DE	12/31/2012	68.33364771	90.70001208	74.5075549	52.59869281
CBKG.DE	12/31/2013	66.31630935	89.10935956	73.41124177	48.98401826
CBKG.DE	12/31/2014	67.09825729	91.23040681	76.72331674	45.5182769
CBKG.DE	12/31/2015	62.7912458	88.59981528	68.52865589	46.17100199
CBKG.DE	12/31/2016	69.58578176	90.16570196	74.07308568	57.27625802
CBKG.DE	12/31/2017	73.90697333	89.96938772	74.11571094	69.67169234
CBKG.DE	12/31/2018	70.85434096	79.85201787	73.6076026	63.46188748
CBKG.DE	12/31/2019	70.86650719	88.9338372	70.15600227	64.61849308
CBKG.DE	12/31/2020	76.68833634	91.7847425	73.63308081	74.85923705
CBKG.DE	12/31/2021	75.85020822	92.76125283	72.31702947	73.95372556
CBKG.DE	12/31/2022	76.1072045	90.80679782	71.99442341	75.89386555
COKG.DE	12/31/2018	43.13386277	57.02530404	48.88809925	34.01139343
COKG.DE	12/31/2019	50.02008564	59.23252882	57.32517339	40.96586046
COKG.DE	12/31/2020	47.22943236	59.65806945	62.77628151	30.11327669
COKG.DE	12/31/2021	60.04913296	71.1632951	68.8592202	49.12842032
COKG.DE	12/31/2022	55.79620013	70.82269571	66.95370783	41.68039762
COKG.DE	12/31/2023	63.13510568	71.48161298	58.87440287	64.30009202
CONG.DE	12/31/2010	54.35360598	67.11103935	52.27019724	40.04656863
CONG.DE	12/31/2011	77.10454092	76.32342983	85.46582162	63.9374677
CONG.DE	12/31/2012	77.16767068	72.75927238	88.76580261	63.55816993
CONG.DE	12/31/2013	78.78778718	73.99851507	87.87117616	70.0005436
CONG.DE	12/31/2014	80.24946495	73.61376369	84.50872994	82.27503365
CONG.DE	12/31/2015	80.68702426	73.14512792	81.35649336	90.10386238
CONG.DE	12/31/2016	84.47665511	79.36565142	85.9325585	89.14893617
CONG.DE	12/31/2017	84.39718074	75.01485403	88.02344348	91.34764558
CONG.DE	12/31/2018	79.08328085	73.28017989	85.11230694	76.92478322
CONG.DE	12/31/2019	81.16564392	78.10257179	83.89245047	80.80322484
CONG.DE	12/31/2020	77.51251025	71.0718175	82.20135172	78.53240047
CONG.DE	12/31/2021	74.58020558	70.35901613	79.5074756	72.08613807
CONG.DE	12/31/2022	78.21656427	71.21388786	78.63366249	87.30892705
COP1n.DE	12/31/2018	30.30114235	10.69651741	37.04294095	30.37709216
COP1n.DE	12/31/2019	29.50659475	13.80778589	42.01118876	23.44839255
COP1n.DE	12/31/2020	35.92447885	13.62869198	41.87594746	37.48833916
COP1n.DE	12/31/2021	35.9731601	13.76117497	43.37654387	36.26161961
COP1n.DE	12/31/2022	35.00652511	10.87807606	40.34780375	37.64562544
COP1n.DE	12/31/2023	46.25525319	23.11765514	57.80613204	43.24994249
DB1Gn.DE	12/31/2010	63.54714303	75.75433595	55.92630694	73.24754902
DB1Gn.DE	12/31/2011	56.10692518	75.96852809	56.43428463	56.30542636
DB1Gn.DE	12/31/2012	64.85947996	75.38187905	61.99235327	70.30326797
DB1Gn.DE	12/31/2013	64.52653462	75.09259259	61.2565059	70.64416177
DB1Gn.DE	12/31/2014	66.31099273	74.19885115	64.40248818	72.49145697
DB1Gn.DE	12/31/2015	69.31666064	77.18587145	63.3199603	78.62521445
DB1Gn.DE	12/31/2016	72.18510581	79.3987679	59.72244391	86.92164809
DB1Gn.DE	12/31/2017	74.9152521	74.94543603	61.4641278	92.11296843
DB1Gn.DE	12/31/2018	74.63679639	41.88666023	60.27803501	96.58701351
DB1Gn.DE	12/31/2019	74.80201551	68.89418188	65.98186314	84.02249428
DB1Gn.DE	12/31/2020	77.29946758	67.26292344	64.50425655	91.1152757
DB1Gn.DE	12/31/2021	73.41653985	67.7059848	68.04627378	79.66459772
DB1Gn.DE	12/31/2022	71.15136137	64.86839922	64.47313623	78.67564013
DBKGn.DE	12/31/2010	84.10778877	88.13684446	89.3729827	79.08088235
DBKGn.DE	12/31/2011	82.36053219	91.7842188	84.97964875	76.69302326
DBKGn.DE	12/31/2012	84.77498395	90.54964323	89.66870516	77.44052288
DBKGn.DE	12/31/2013	83.85668554	91.86300016	86.17759311	79.01663405
DBKGn.DE	12/31/2014	81.14555729	93.86842624	88.09395987	67.81712747
DBKGn.DE	12/31/2015	76.72969152	95.14142889	86.80846039	57.08675291
DBKGn.DE	12/31/2016	76.96999241	93.53648848	85.92296632	60.11313745
DBKGn.DE	12/31/2017	80.36651108	98.1017882	83.31709184	69.43570414
DBKGn.DE	12/31/2018	80.71443461	96.67636068	82.4566196	71.92932043
DBKGn.DE	12/31/2019	85.56431515	95.88684183	85.98031588	80.8621479
DBKGn.DE	12/31/2020	83.65059621	95.6646601	86.87535787	74.40196568
DBKGn.DE	12/31/2021	79.98507068	95.44050592	85.65358168	65.9929481
DBKGn.DE	12/31/2022	81.85194425	94.71675689	88.86387409	67.04513808
DHER.DE	12/31/2017	48.46947891	10.54937126	77.73086935	34.64820278
DHER.DE	12/31/2018	60.30130768	12.65750286	77.57872077	59.71667675
DHER.DE	12/31/2019	69.32369049	22.3850117	83.19086203	71.46411864
DHER.DE	12/31/2020	81.03782323	34.00782434	92.47059933	85.30193237
DHER.DE	12/31/2021	79.53336846	30.85336014	89.67260889	85.40635836
DHER.DE	12/31/2022	79.1643231	29.25233064	84.14280649	89.85089348
DHLn.DE	12/31/2010	73.36505646	79.14492754	72.47915555	67.58088235
DHLn.DE	12/31/2011	82.13960571	80.74155012	86.29442195	78.41601129
DHLn.DE	12/31/2012	83.74024087	81.48370497	85.35188917	84.35294118
DHLn.DE	12/31/2013	79.50253075	81.51826106	86.35941043	68.16971081
DHLn.DE	12/31/2014	78.09775447	82.14722305	84.40909127	65.03365434
DHLn.DE	12/31/2015	80.35860082	79.7521322	88.86303226	70.03060231
DHLn.DE	12/31/2016	82.87101071	78.96718147	94.27494097	72.73049645
DHLn.DE	12/31/2017	80.2597662	77.10835836	94.15486937	65.97782148
DHLn.DE	12/31/2018	80.09781732	76.11606003	95.10351285	65.36852188
DHLn.DE	12/31/2019	86.5780658	75.96459164	94.40329621	89.14143525
DHLn.DE	12/31/2020	84.51479173	78.82328157	89.11078313	85.36981509
DHLn.DE	12/31/2021	82.02755963	79.34285768	89.76036898	75.19654981
DHLn.DE	12/31/2022	75.01523885	78.64800709	78.47529196	66.15784792
DHLn.DE	12/31/2023	73.94948611	73.64563028	72.01109352	76.83402346
DTEGn.DE	12/31/2010	71.92590843	74.36049671	84.67142508	44.49754902
DTEGn.DE	12/31/2011	67.41056779	79.49669458	72.61798378	47.70077519
DTEGn.DE	12/31/2012	75.79350029	78.50695124	74.95177876	75.40130719
DTEGn.DE	12/31/2013	73.62394289	80.01756697	74.40680135	67.15209828
DTEGn.DE	12/31/2014	70.23062973	82.84186867	68.99441169	63.04131718
DTEGn.DE	12/31/2015	78.62994056	82.20833645	85.27153309	62.56642092
DTEGn.DE	12/31/2016	79.39859316	80.21351167	85.77134832	65.9929078
DTEGn.DE	12/31/2017	76.97616802	82.3720909	86.48668079	53.7654321
DTEGn.DE	12/31/2018	77.96467477	85.12678346	90.31438909	47.70568663
DTEGn.DE	12/31/2019	82.58677688	82.26309786	92.7049111	62.54245048
DTEGn.DE	12/31/2020	86.40637203	80.41380706	94.18810717	75.39396968
